id_task,id_user,arrived_del_loc_at,id_telemetry,latitude,longitude,accuracy_radius,android_activity,android_activity_confidence,telemetry_time
60290639,2108,2025-03-14 15:52:34.000000 UTC,66064789,251811914,552628815,36.409,UNKNOWN,40.0,2025-03-14 15:52:28.000000 UTC
60288550,92817,2025-03-14 15:59:14.000000 UTC,66173933,251732273,553025702,16.035,IN_VEHICLE,96.0,2025-03-14 15:59:04.000000 UTC
60290989,77075,2025-03-14 15:56:33.000000 UTC,66131120,252072767,552738600,1.9,STILL,100.0,2025-03-14 15:56:29.000000 UTC
60291917,96779,2025-03-14 15:58:40.000000 UTC,66165531,251900188,552839759,47.011,IN_VEHICLE,77.0,2025-03-14 15:58:34.000000 UTC
60292265,65463,2025-03-14 15:56:52.000000 UTC,66136962,251809641,552705725,5.05,WALKING,91.0,2025-03-14 15:56:50.000000 UTC
60291308,94254,2025-03-14 15:59:27.000000 UTC,66181442,251929775,552670429,6.3,WALKING,98.0,2025-03-14 15:59:32.000000 UTC
60292016,62190,2025-03-14 16:00:48.000000 UTC,66198869,251939596,552899207,22.178,UNKNOWN,40.0,2025-03-14 16:00:35.000000 UTC
60290233,95795,2025-03-14 16:00:48.000000 UTC,66203713,251849749,552897342,12.963,UNKNOWN,40.0,2025-03-14 16:00:53.000000 UTC
60290772,14006,2025-03-14 16:01:46.000000 UTC,66218064,251870357,552753347,39.6,IN_VEHICLE,96.0,2025-03-14 16:01:46.000000 UTC
60293978,12811,2025-03-14 16:06:15.000000 UTC,66293746,251801416,552764656,15.235,WALKING,88.0,2025-03-14 16:06:24.000000 UTC
60292732,8612,2025-03-14 16:07:16.000000 UTC,66306485,251754184,553093070,67.341,UNKNOWN,40.0,2025-03-14 16:07:10.000000 UTC
60291735,47123,2025-03-14 16:04:20.000000 UTC,66264386,252070535,552710918,129.189,STILL,34.0,2025-03-14 16:04:36.000000 UTC
60292296,57661,2025-03-14 16:04:32.000000 UTC,66262747,251923359,552622923,12.676,STILL,100.0,2025-03-14 16:04:30.000000 UTC
60292315,94975,2025-03-14 16:05:30.000000 UTC,66278909,251936607,552898361,224.03,UNKNOWN,40.0,2025-03-14 16:05:29.000000 UTC
60293796,4664,2025-03-14 16:04:36.000000 UTC,66265022,251923317,552622894,12.528,WALKING,98.0,2025-03-14 16:04:38.000000 UTC
60291237,11645,2025-03-14 16:05:37.000000 UTC,66277652,251949792,552657417,20.0,UNKNOWN,40.0,2025-03-14 16:05:24.000000 UTC
60293197,95658,2025-03-14 16:05:08.000000 UTC,66273168,251934382,552889588,4.31,IN_VEHICLE,98.0,2025-03-14 16:05:08.000000 UTC
60295091,50288,2025-03-14 16:06:39.000000 UTC,66296890,251918833,552739400,1.033,TILTING,100.0,2025-03-14 16:06:35.000000 UTC
60291671,91134,2025-03-14 16:08:53.000000 UTC,66338656,251715826,553023118,87.6,UNKNOWN,40.0,2025-03-14 16:09:07.000000 UTC
60294612,19123,2025-03-14 16:09:39.000000 UTC,66344457,251905701,552659005,158.68,UNKNOWN,40.0,2025-03-14 16:09:29.000000 UTC
60292301,94791,2025-03-14 16:03:21.000000 UTC,66245990,251809683,552635750,0.966,STILL,100.0,2025-03-14 16:03:28.000000 UTC
60292845,68606,2025-03-14 16:07:03.000000 UTC,66305503,252032102,552800869,1.9,UNKNOWN,40.0,2025-03-14 16:07:07.000000 UTC
60295338,14476,2025-03-14 16:10:26.000000 UTC,66358873,251806238,552641820,600.0,STILL,74.0,2025-03-14 16:10:22.000000 UTC
