id_task,id_user,arrived_del_loc_at
60625483,65078,2025-03-18 06:06:14.000000 UTC
60625168,21594,2025-03-18 06:08:41.000000 UTC
60625229,33487,2025-03-18 06:10:19.000000 UTC
60625993,91391,2025-03-18 06:24:41.000000 UTC
60625846,85572,2025-03-18 06:21:38.000000 UTC
60625845,72652,2025-03-18 06:24:08.000000 UTC
60625995,21579,2025-03-18 06:24:14.000000 UTC
60625656,58250,2025-03-18 06:23:18.000000 UTC
60626114,10904,2025-03-18 06:27:08.000000 UTC
60626233,82642,2025-03-18 06:31:00.000000 UTC
60625945,30139,2025-03-18 06:30:11.000000 UTC
60626175,39801,2025-03-18 06:40:31.000000 UTC
60626135,60029,2025-03-18 06:38:45.000000 UTC
60626462,93348,2025-03-18 06:44:14.000000 UTC
60626193,94120,2025-03-18 06:46:09.000000 UTC
60626333,13315,2025-03-18 06:56:49.000000 UTC
60627026,58250,2025-03-18 07:06:37.000000 UTC
60626889,16682,2025-03-18 07:09:13.000000 UTC
60626951,13038,2025-03-18 07:08:21.000000 UTC
60626938,8593,2025-03-18 07:13:59.000000 UTC
60627101,10904,2025-03-18 07:16:31.000000 UTC
60627144,81736,2025-03-18 07:16:09.000000 UTC
60627306,82051,2025-03-18 07:18:26.000000 UTC
60627277,21579,2025-03-18 07:09:32.000000 UTC
60627456,13881,2025-03-18 07:21:13.000000 UTC
60627530,47289,2025-03-18 07:21:30.000000 UTC
60627567,8077,2025-03-18 07:20:35.000000 UTC
60628255,64671,2025-03-18 07:27:43.000000 UTC
60628144,64323,2025-03-18 07:32:09.000000 UTC
60628238,93506,2025-03-18 07:40:38.000000 UTC
60628002,91875,2025-03-18 07:34:10.000000 UTC
60628430,91326,2025-03-18 07:44:41.000000 UTC
60628297,30427,2025-03-18 07:46:59.000000 UTC
60628408,70319,2025-03-18 07:48:37.000000 UTC
60628407,8593,2025-03-18 07:42:03.000000 UTC
60627506,92570,2025-03-18 07:51:20.000000 UTC
60628831,74041,2025-03-18 07:49:34.000000 UTC
60628347,6104,2025-03-18 07:53:37.000000 UTC
60629049,45979,2025-03-18 07:54:53.000000 UTC
60628036,75991,2025-03-18 07:56:43.000000 UTC
60628388,93506,2025-03-18 07:57:37.000000 UTC
60628182,62567,2025-03-18 07:57:01.000000 UTC
60628211,96546,2025-03-18 07:50:44.000000 UTC
60628487,84322,2025-03-18 08:02:58.000000 UTC
60629314,33487,2025-03-18 08:02:40.000000 UTC
60629143,76140,2025-03-18 08:04:13.000000 UTC
60628468,61042,2025-03-18 08:04:49.000000 UTC
60628919,93510,2025-03-18 08:05:44.000000 UTC
60629278,92648,2025-03-18 08:09:24.000000 UTC
60628491,15334,2025-03-18 07:56:06.000000 UTC
60628885,99142,2025-03-18 08:10:57.000000 UTC
60629327,92521,2025-03-18 08:13:56.000000 UTC
60628902,58551,2025-03-18 08:15:36.000000 UTC
60628815,91767,2025-03-18 08:13:52.000000 UTC
60629554,88846,2025-03-18 08:12:03.000000 UTC
60629812,31509,2025-03-18 08:16:33.000000 UTC
60628390,8010,2025-03-18 08:12:59.000000 UTC
60629348,86068,2025-03-18 08:16:02.000000 UTC
60628926,92674,2025-03-18 08:20:21.000000 UTC
60628760,91398,2025-03-18 08:14:11.000000 UTC
60629511,91875,2025-03-18 08:18:47.000000 UTC
60629493,92659,2025-03-18 08:17:30.000000 UTC
60629549,68029,2025-03-18 08:08:53.000000 UTC
60628770,8077,2025-03-18 08:15:23.000000 UTC
60630517,7591,2025-03-18 08:24:57.000000 UTC
60630032,15796,2025-03-18 08:26:21.000000 UTC
60629258,26237,2025-03-18 08:06:20.000000 UTC
60629308,71412,2025-03-18 08:29:58.000000 UTC
60629426,87400,2025-03-18 08:29:47.000000 UTC
60629526,62275,2025-03-18 08:28:39.000000 UTC
60629134,60704,2025-03-18 08:29:18.000000 UTC
60629393,71398,2025-03-18 08:32:13.000000 UTC
60629553,63298,2025-03-18 08:31:42.000000 UTC
60629804,85571,2025-03-18 08:33:53.000000 UTC
60630416,95904,2025-03-18 08:31:48.000000 UTC
60630442,82066,2025-03-18 08:33:57.000000 UTC
60631080,96101,2025-03-18 08:36:28.000000 UTC
60629027,85937,2025-03-18 08:16:54.000000 UTC
60630012,91241,2025-03-18 08:38:44.000000 UTC
60629772,66050,2025-03-18 08:36:21.000000 UTC
60630444,76832,2025-03-18 08:39:49.000000 UTC
60630836,92124,2025-03-18 08:38:59.000000 UTC
60630615,48211,2025-03-18 08:37:43.000000 UTC
60630290,63383,2025-03-18 08:41:05.000000 UTC
