id_task,mp_Task_nr
60362577,FF3FNNDWFDUH6WA
60340168,FF3FNNUSPZW9K9A
60476691,FF3GNNGJ65606JA
60373672,FF3FNN5QKVOH7NA
60339995,FF3FNNOM6LWKLPA
60163530,FF3DNNS565FO86A
60240961,FF3ENN6SSQSC81A
60259667,FF3ENN5AS7JEDDA
60237047,FF3ENNURQWOFQ6A
60213747,FF3DNNZVSF9N0LA
60260313,FF3ENN0XHN5F6YA
60292315,FF3ENND0NB8EC5A
60595561,FF3HNNGNP9ET3BA
60551687,FF3HNNOXL4DGJUA
60260156,FF3ENNUNDJALHRA
60544479,NNF3HNNMCP67NIQA
60351688,FF3FNNLFYH4OK2A
60505331,FF3GNNJP02CR7MA
60252795,FF3ENNMWMBSZMIA
60252715,FF3ENNSUQJ8CSBA
60464415,FF3GNN03MMVTT1A
60553096,NNF3HNNOTYKM03TA
60602446,FF3HNNL7D75OLIA
60227828,FF3DNNDWYA4VKSA
60615320,FF3HNN50TIGF37A
60628182,FF3INNQO57M2G0A
60294518,NNF3ENNEGJOIOBLA
60241371,FF3ENN8EJ0P5E1A
60440798,FF3GNNDOJJF7M0A
60368333,FF3FNNZ7AOELG7A
60291917,FF3ENNVNABELSZA
60497459,FF3GNN79FB14UHA
60154835,FF3DNNFGX4NP52A
60175458,FF3DNNSKHY6N9PA
60608137,FF3HNN1C8AR42RA
60456312,FF3GNNWUGYOP9DA
60499593,FF3GNNFSIFDJKHA
60460371,FF3GNN6BUQFGF6A
60559558,FF3HNN57MJHNHKA
60498010,FF3GNNNBH5AUMVA
60627567,FF3INNY49NVQWKA
60264836,FF3ENNJU66J7D3A
60564388,FF3HNNL6W0IHX0A
60391795,FF3FNNIHLKNONKA
60270595,FF3ENNOGX445WLA
60136040,FF3CNN34O31KKCA
60219758,FF3DNNQAMAR90ZA
60628902,FF3INN5A6G0QPLA
60555172,FF3HNNAVDCU3LLA
60447173,NNF3GNN5GIRW2KYA
60381888,FF3FNN561S2CF0A
60596602,FF3HNNMKWQVIQGA
60261560,FF3ENN8EH7KSZPA
60498290,FF3GNNBWHZQU0YA
60557351,FF3HNN7IBI94V2A
60331286,FF3ENNWFMTO5WVA
60155726,FF3DNNMACBKUD8A
60542235,FF3HNNVV5WMG29A
60338549,FF3FNNMYWY5473A
60359440,FF3FNNV6OG9K18A
60578826,FF3HNN4BE0UWK7A
60192273,FF3DNNZR1S83RFA
60447200,NNF3GNN2PIO6XF2A
60169636,FF3DNNV6UH9SNNA
60307186,FF3ENN7NWP3YLNA
60244201,FF3ENNI34W3ABEA
60327392,FF3ENNCMXWOWOFA
60268668,FF3ENNTHS4IPW4A
60348197,FF3FNN75NR176HA
60516806,FF3GNNGPIC4H2XA
60242976,FF3ENNLSC2MX2QA
60439208,FF3GNN4U9E49EVA
60409082,FF3FNNNDNI12AAA
60498129,FF3GNNFNDCT10MA
60558446,FF3HNNLZGKH5U8A
60162943,FF3DNNLSJ56AC6A
60230753,FF3DNNV6IG1FIMA
60492478,FF3GNNLXLOFAKDA
60483534,NNF3GNNPEAS5K0NA
60538359,FF3GNNSQPYQFTWA
60390470,FF3FNNG80NWCQ3A
60624173,FF3INNZBI66KMOA
60334412,FF3ENNV8U15LXWA
60268449,FF3ENN01G0J1VZA
60562354,FF3HNNZB1RZUJSA
60532175,FF3GNNFNJNPI87A
60446584,FF3GNNOGA0IB73A
60197864,FF3DNNB9DGIB2WA
60355910,FF3FNN8K9ZMVU7A
60280291,FF3ENNEZ3L9UANA
60513626,FF3GNNJHLHK4IJA
60299052,FF3ENN2NGA4JGJA
60519344,FF3GNN598LIMGOA
60258866,FF3ENNQRRBK5VGA
60492433,FF3GNN0LQZG5NZA
60194410,FF3DNNAR57DNCQA
60498822,FF3GNNLT1RIFMCA
60298981,FF3ENNS2H7ER8BA
60160203,FF3DNNQLSPSE02A
60373776,FF3FNNM6K4H0QOA
60542667,NNF3HNNUWY1YPCSA
60395837,FF3FNNWB4CZN9UA
60384335,FF3FNNCTX7GSN7A
60160192,FF3DNNDTE8A1ILA
60348441,FF3FNNLR8FSMYKA
60455886,FF3GNNCRU621DYA
60508107,FF3GNNPUXUA8P2A
60299927,FF3ENNQUFNSUWPA
60480362,FF3GNNH7SHHWG4A
60630870,FF3INNZSXCXZYSA
60471648,FF3GNNR5TAMAVAA
60347399,FF3FNNIGM9LWJQA
60175308,FF3DNNAXICLBTGA
60267507,FF3ENNHB9SDCDZA
60529719,FF3GNN0F6OQ3NYA
60178380,NNF3DNNP359X4FNA
60274477,FF3ENNC587EG2NA
60372026,FF3FNN1UVBWW8CA
60183535,FF3DNNB71YUQT2A
60478960,FF3GNNJA3L9ICOA
60603263,FF3HNNT0902BW3A
60174175,FF3DNN1FQ5OHG4A
60409298,FF3FNNZG0XUIIJA
60151754,FF3DNN2Z30TO0FA
60528665,FF3GNNQX3H1AW4A
60265396,FF3ENNZFR2629UA
60184222,FF3DNNY1ABVMRMA
60384225,FF3FNNZ9H18C0UA
60213572,NNF3DNN2B9XCVRWA
60360508,FF3FNNJ7XV6MWCA
60147124,FF3DNNUAY844AMA
60530513,FF3GNNRYKL1U3FA
60469516,NNF3GNN7HHE8VB4A
60204653,FF3DNN7EDR64ATA
60260663,FF3ENNV9RVPDS5A
60260839,FF3ENNN6ESY1NPA
60342190,FF3FNNAQLVSLOLA
60501607,FF3GNNLEFCVG8FA
60585272,FF3HNN3ACUJZHTA
60364427,FF3FNNWZMYFWOZA
60345994,NNF3FNNIQ08NK2MA
60373094,NNF3FNNS3MBYMX3A
60343456,FF3FNNV9ZKRSRUA
60360981,FF3FNNNJE9Z0D7A
60459353,FF3GNN2W0CWP5RA
60462309,FF3GNNPSRAFCXDA
60549136,FF3HNNT6KO1AN3A
60293206,FF3ENN7LJVGV0IA
60252686,FF3ENNZKFXAPXPA
60289610,FF3ENNWJC4EWZYA
60453609,FF3GNNOK2I4075A
60287392,FF3ENND53IDJB7A
60260524,FF3ENN4AGN67L1A
60170566,FF3DNNQU1S79TMA
60397094,FF3FNNPOMQB17BA
60406431,FF3FNNTDU3FBT3A
60581430,FF3HNNCJFJGNCDA
60266397,FF3ENN9A7VK1TUA
60233527,FF3DNN45YBFBEUA
60513691,FF3GNNOFBAB78NA
60143304,FF3DNN2SMTHWM0A
60563822,FF3HNNYX0T4JNGA
60298745,FF3ENNB2N58YJHA
60638643,FF3INNNGSWI7G5A
60340024,FF3FNNVZHC5GLXA
60356447,FF3FNN1MCDYZUFA
60394856,FF3FNNSZB7VMLPA
60578228,FF3HNNK4ZDQUH4A
60331534,FF3ENN8P5NLWIUA
60480223,FF3GNNIYAD8J25A
60267453,FF3ENN193KOBWIA
60404746,FF3FNNJJ4HT2UYA
60488855,FF3GNN7U6BYDKVA
60163816,FF3DNN04V9K4HDA
60145524,FF3DNNVQS38IPWA
60344233,FF3FNNNWRUCP3TA
60353409,NNF3FNNCMLPHBICA
60519023,FF3GNNTMLDKCFHA
60269704,FF3ENNDFL4OJT3A
60429745,FF3FNNS0MK4AO3A
60553524,FF3HNNWXHZEEM1A
60146609,FF3DNN8WZ4N74BA
60516006,NNF3GNND92O9JXGA
60303676,FF3ENNQXO7BZRGA
60295751,FF3ENNX8O1AITFA
60317838,FF3ENN5YKNG30DA
60164834,FF3DNNKC1AMHFZA
60360478,FF3FNNVWBLQJMAA
60536337,FF3GNNWYDJFMROA
60354295,FF3FNNBF97GV9UA
60447040,FF3GNNZOBS6VKDA
60235321,FF3ENN04105H9PA
60259772,FF3ENN4X7FAJA2A
60243853,FF3ENNC2CIUQABA
60337666,FF3FNNI6VG5KFMA
60146246,FF3DNN0QF49N1HA
60363489,FF3FNNL6AB7ZI1A
60553319,FF3HNNFLNHEXTDA
60161011,FF3DNNLMSU8M31A
60133394,FF3CNNBR788W2EA
60266116,FF3ENNRDYBKJITA
60497979,FF3GNNX60BGDEKA
60382072,FF3FNNZNL1XMG0A
60634298,FF3INNWACSYILGA
60483540,FF3GNNPAK9K3Q7A
60149604,FF3DNNBV387783A
60558408,FF3HNNMOZLHSNUA
60248962,FF3ENN0Q2UG96QA
60195676,FF3DNNX7AQIAM4A
60252233,FF3ENNX5UJSI1GA
60392537,FF3FNNYY393URBA
60313789,FF3ENN4SEGNQJ8A
60287132,FF3ENN5MUZ8X9NA
60145478,FF3DNNK0SP4WLIA
60181524,FF3DNNHP4BKJ4DA
60624234,NNF3INN6AXKPOGNA
60633990,FF3INNBJXN1A3NA
60465895,FF3GNN42YVWZ0FA
60547609,FF3HNNV0INJN1SA
60526682,FF3GNNLVL05TG3A
60580048,FF3HNNQ06DVPXPA
60312460,FF3ENNUUI2DO6BA
60326842,FF3ENN3U2B4RE6A
60572738,FF3HNN7S2M6GV5A
60443197,NNF3GNNF9BZ5MP0A
60563723,FF3HNNRCNZKM3JA
60458320,FF3GNNST6F32KLA
60212336,FF3DNNX0W6JRFHA
60139966,FF3CNNVPL52T3GA
60175177,NNF3DNN5ZY8CGAAA
60242468,FF3ENNVQ86GFSXA
60468504,FF3GNN3MEQZP9PA
60149639,FF3DNNYJU088FFA
60549091,FF3HNN0RR2ST30A
60159569,FF3DNNFTPUAOOYA
60221662,FF3DNNL7INYYYLA
60315908,FF3ENN0R0T0GEAA
60553697,FF3HNNC1RJOUYXA
60437908,FF3FNNFTV17477A
60461522,FF3GNNDAN5VAI7A
60183982,FF3DNNFLNSGGSJA
60190024,FF3DNNHR4BQ7CGA
60591814,FF3HNND93G87QRA
60221191,FF3DNN7W4DS8T6A
60242408,FF3ENNZIUE8X5NA
60548317,FF3HNNOENDMCW7A
60532488,FF3GNNGHG4H3A9A
60527057,FF3GNNAVQ36GI9A
60216439,FF3DNN5JCZHLMQA
60244927,FF3ENN09MQS9X3A
60634033,FF3INNIP7XFYKUA
60247648,FF3ENNHV1HWB4YA
60546925,FF3HNN73GF41JLA
60242753,FF3ENN08XE8BB7A
60202049,NNF3DNNVCA8KS27A
60579685,FF3HNN74MJSL6FA
60167942,FF3DNNN0QCMDKKA
60629511,FF3INNTHR9GX76A
60486668,FF3GNNBXO752NLA
60532890,FF3GNN2JLEAOQMA
60404286,FF3FNN63FL6DM1A
60248954,FF3ENNFMV6VPFMA
60145338,FF3DNNCEDZ082RA
60329141,FF3ENNO5BO5H7VA
60246300,FF3ENNT20RER8WA
60156737,FF3DNNSX8V37XNA
60391426,FF3FNNV1TNQY1NA
60362361,FF3FNNM2XNMR92A
60145229,FF3DNN0FMWF3E1A
60236002,FF3ENNWVPBT7WKA
60193192,FF3DNNZC3PSZWGA
60245106,FF3ENN8U1NCGBCA
60156541,FF3DNNPSD7ZKVLA
60334416,FF3ENN8BT3Q2FSA
60187927,FF3DNNXXZY0U7XA
60241552,FF3ENNMBOKO31JA
60181646,FF3DNNXJ9A0T3IA
60492475,FF3GNNK89UOU0LA
60526551,FF3GNNMKJBEF8UA
60410969,FF3FNN56JNOHZYA
60459671,FF3GNN6YJCAE98A
60281636,FF3ENNQ90WOUC1A
60515233,FF3GNN8W7CF8VBA
60198617,FF3DNNK5GOFIDIA
60185551,FF3DNN59U06CBBA
60391130,FF3FNNJCKS8P28A
60594269,FF3HNNWGVZR14AA
60281297,FF3ENNSZ1BJOENA
60158750,FF3DNNJXKMOHX1A
60351958,FF3FNN7JT1G58OA
60582937,NNF3HNNRX9AEN5BA
60391311,FF3FNNICKTI9OUA
60291568,FF3ENNA2XYKPWKA
60609670,FF3HNNXJDUNGVSA
60210027,FF3DNNQ93O9W75A
60602053,FF3HNN5VLW8ARVA
60501302,FF3GNNVZCXVCAQA
60464296,FF3GNNBQLJZ0SMA
60264338,FF3ENN6B447J6KA
60519019,FF3GNNOI8LQP9RA
60358263,FF3FNN5TCXEQN3A
60479948,FF3GNNE2C1EJJXA
60242223,FF3ENN3YR0SN30A
60481132,FF3GNN148WMSA9A
60366785,FF3FNNWQNGNFX0A
60366339,FF3FNNPSD580Y9A
60623698,FF3INNQ610YK52A
60296248,FF3ENNN6IJ7IBHA
60404488,FF3FNNF9RWNKOQA
60458134,FF3GNNW7Q3DY89A
60574315,FF3HNNC0VCQEJTA
60511605,NNF3GNNQRX1S3IRA
60416662,FF3FNNWVVAELRJA
60477211,FF3GNNT3Z2FBAUA
60593034,FF3HNNK4U4U7A6A
60160522,FF3DNNMJWBNDRQA
60328312,FF3ENN0P32G58OA
60165221,NNF3DNNGIK9AYZWA
60305858,FF3ENN2M9YO3X9A
60472589,FF3GNNA5WGE6J7A
60634055,FF3INNGUIOVBA8A
60477622,FF3GNNU92HAZLYA
60428031,NNF3FNNX7HHK6KGA
60482827,FF3GNN9A3JYT4DA
60473248,FF3GNN8BZWM6RDA
60140307,FF3CNNEZL4W4WPA
60267219,FF3ENNP4JEGP2JA
60638161,FF3INNXHV8IM8QA
60479178,FF3GNNSSV7GR1WA
60494216,FF3GNN8TFG5H26A
60192838,FF3DNNHVS0HOWOA
60560547,FF3HNN83OD3XGXA
60285289,FF3ENN1ZMSN05RA
60307373,FF3ENNEV8UDII7A
60221237,FF3DNNY7HERCJ0A
60171065,FF3DNN09LGYYRBA
60260163,FF3ENN5GDIQSN0A
60564292,FF3HNNQXUFX7M0A
60349548,NNF3FNNMBHMF5YXA
60481495,FF3GNNF5UDSFHLA
60467800,NNF3GNNMSCES89VA
60502470,FF3GNNCMDXBUHXA
60443370,FF3GNN5DCKCRVQA
60380171,FF3FNNM2NIJMULA
60526600,FF3GNNQBF3TVAZA
60256101,FF3ENNP7M81JA8A
60289924,FF3ENNUQO8O3MWA
60194898,FF3DNNWDHBA1KJA
60341245,FF3FNNJ0HY7ZESA
60441851,FF3GNNS3NEB3UIA
60321019,FF3ENNJOOUYLLWA
60509125,FF3GNNPPL2VS0QA
60522930,FF3GNNZX1LNLQ3A
60273379,FF3ENNNQ4JXLVPA
60316620,FF3ENNZBZDT7ZPA
60451289,FF3GNN6XYCW9XKA
60572551,FF3HNNUYP3LGFMA
60575703,NNF3HNNCOFUL74JA
60357662,FF3FNN5M8H37IOA
60240312,NNF3ENNUC3XGJ7SA
60465599,FF3GNNZF26NML0A
60352624,NNF3FNN18HUIX3ZA
60386703,FF3FNNZSANUN6KA
60194521,FF3DNN42SHIMJGA
60392904,FF3FNNP6SV4VS5A
60152999,FF3DNNCV0GCNN9A
60194790,FF3DNNDOKJEDKXA
60296312,FF3ENN0291269RA
60277806,FF3ENN9RWQCLNFA
60220164,FF3DNNKQB0KMWPA
60342109,FF3FNNGB3AMJ1JA
60204120,FF3DNNYC6DP8BTA
60319705,FF3ENN2QTO4KWIA
60465848,FF3GNNO1N7SR85A
60199411,FF3DNN2RMFUXYTA
60273789,FF3ENNLXR0F3FTA
60409806,FF3FNNFP5PO4I6A
60544869,FF3HNNSG663T9DA
60507596,FF3GNNUPBHS21PA
60266145,FF3ENNEAJFG6MBA
60369936,FF3FNN6A9A4I45A
60254623,FF3ENNAZW4ZLS6A
60499324,FF3GNN2QZ689XPA
60569269,FF3HNND2AC86KAA
60584808,FF3HNNE7HMT3ISA
60204936,FF3DNNLCQ9PIFMA
60526883,FF3GNNOECQEPW9A
60519202,FF3GNN4JGA0EFCA
60462057,FF3GNNUZO9B2S7A
60287182,FF3ENNYBUYVY7SA
60396839,FF3FNNUROK739BA
60356332,FF3FNNLZ4MY06IA
60470430,FF3GNN3XV0ASVEA
60443787,FF3GNN69TBPC5HA
60585140,FF3HNN3SHBU2D8A
60440882,FF3GNNTI31P9VHA
60507930,FF3GNN7XX3XZMUA
60179337,FF3DNNH3RVVOYRA
60565527,FF3HNNFS4HJ2COA
60330081,FF3ENNRT1IX1MJA
60578595,FF3HNNNUKI3DDPA
60527415,FF3GNNY8B57N5RA
60254116,FF3ENNHA4IQM2CA
60188252,FF3DNNJ7JHP06BA
60440237,FF3GNNIG6J2EGPA
60410352,FF3FNNPA74AYLKA
60264424,FF3ENN7XZ5R7OKA
60595652,FF3HNN6GITIQK9A
60499741,FF3GNN97JQ21RAA
60398202,FF3FNNI4S9B44ZA
60452720,FF3GNNEXO8JVTKA
60557126,FF3HNN48INFZYHA
60472917,FF3GNNF1WJR16UA
60271142,FF3ENN3OZCRBEYA
60210833,FF3DNNQK3TCTZBA
60405369,NNF3FNNXMZBOU80A
60529269,FF3GNNIH4TL2S7A
60250784,FF3ENNMXR6JGXMA
60433909,FF3FNNND92G3RCA
60445477,FF3GNN3LGHMTWTA
60518667,FF3GNNZGGZM3E1A
60500431,FF3GNN4V4UOCDUA
60237967,FF3ENNL4A8LGEBA
60511720,FF3GNNT5QL3S6CA
60541621,FF3HNNW5ON3XCEA
60357733,NNF3FNNRLOMXAG4A
60347505,FF3FNNFJ40MFNGA
60380286,FF3FNNQKWMR2MGA
